run,model,count,activated_trades,managed_expectancy,gross_managed_expectancy,profit_factor,avg_execution_cost_r,avg_total_cost_r,avg_mfe_r,avg_rr,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,walk_forward_passed,walk_forward_failed_gates,top_no_trade_reasons,barriers,source_dir
silver_bullet_notebooklm_am_pm_smoke_may_jun_2025_btc_15m,silver_bullet,56,56,0.116554,,,,,2.410605,2.0,0.267857,0.464286,0.267857,0.642857,,,none:56:0.116554,high_invalidation;low_expectancy;missing_profit_factor,backtest_results\silver_bullet_notebooklm_am_pm_smoke_may_jun_2025_btc_15m
session_open_baseline_may_oct_2025_eth_silver_15m,silver_bullet,359,343,0.097553,,,,,3.626558,2.0,0.256267,0.487465,0.256267,0.635097,,,none:357:0.103991;target_rr_below_2:2:-1.0,high_invalidation;low_expectancy;missing_profit_factor;target_rr_pressure,backtest_results\session_open_baseline_may_oct_2025_eth_silver_15m
session_open_baseline_may_oct_2025_btc_silver_15m,silver_bullet,369,352,0.054086,,,,,3.696643,2.0,0.257453,0.468835,0.257453,0.653117,,,none:369:0.054086,high_invalidation;low_expectancy;missing_profit_factor,backtest_results\session_open_baseline_may_oct_2025_btc_silver_15m
notebooklm_execution_probe_2025_btc_5m_15m_silver_off,silver_bullet,520,483,0.034367,,,,,1.869028,2.0,0.188462,0.398077,0.188462,0.588462,,,none:520:0.034367,high_invalidation;low_expectancy;low_target_hit_rate;missing_profit_factor;weak_1r_followthrough,backtest_results\notebooklm_execution_probe_2025_btc_5m_15m_silver_off
silver_bullet_notebooklm_am_pm_smoke_may_jun_2025_btc_5m,silver_bullet,242,221,0.00905,,,,,4.568952,2.0,0.239669,0.454545,0.239669,0.665289,,,none:242:0.00905,high_invalidation;low_expectancy;low_target_hit_rate;mfe_not_monetized;missing_profit_factor,backtest_results\silver_bullet_notebooklm_am_pm_smoke_may_jun_2025_btc_5m
session_open_baseline_may_oct_2025_sol_silver_15m,silver_bullet,359,342,0.000703,,,,,3.904673,2.0,0.220056,0.473538,0.220056,0.690808,,,none:359:0.000703,high_invalidation;low_expectancy;low_target_hit_rate;mfe_not_monetized;missing_profit_factor,backtest_results\session_open_baseline_may_oct_2025_sol_silver_15m
fvg_retest_depth_session_smoke_may_jun_2025_btc_15m,silver_bullet,77,73,-0.019493,,,,,1.552955,2.0,0.207792,0.402597,0.207792,0.636364,,,none:77:-0.019493,high_invalidation;low_target_hit_rate;missing_profit_factor;negative_expectancy;weak_1r_followthrough,backtest_results\fvg_retest_depth_session_smoke_may_jun_2025_btc_15m
silver_bullet_notebooklm_am_pm_htf_aligned_no_poi_quality_gates_may_jun_2025_multi_15m,silver_bullet,9,9,-0.166667,,,,,1.387409,2.0,0.333333,0.333333,0.333333,0.666667,,,none:9:-0.166667,high_invalidation;missing_profit_factor;negative_expectancy;thin_sample;weak_1r_followthrough,backtest_results\silver_bullet_notebooklm_am_pm_htf_aligned_no_poi_quality_gates_may_jun_2025_multi_15m
silver_bullet_costed_2025_btc_15m,silver_bullet,13,13,-0.217593,-0.008343,0.609781,0.20925,,,,,,,,False,min_managed_expectancy_r;min_phase_trades;min_profit_factor;min_total_trades,,low_profit_factor;negative_expectancy;net_cost_gap;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_profit_factor;wf_min_total_trades,backtest_results\silver_bullet_costed_2025_btc_15m
hyperliquid_recent_btc_silver_bullet_15m,silver_bullet,39,39,-0.252086,0.056019,0.577496,0.308105,,2.656022,2.0,0.205128,0.512821,0.205128,0.641026,False,max_trades_per_session;min_managed_expectancy_r;min_profit_factor,none:39:-0.252086,cost_drag;high_invalidation;low_profit_factor;low_target_hit_rate;mfe_not_monetized;negative_expectancy;net_cost_gap;wf_max_trades_per_session;wf_min_managed_expectancy_r;wf_min_profit_factor,backtest_results\hyperliquid_recent_btc_silver_bullet_15m
silver_bullet_costed_2024-11-06_2026-04-20_btc_15m,silver_bullet,17,17,-0.29328,-0.094615,0.536827,0.198665,,,,,,,,False,min_managed_expectancy_r;min_phase_trades;min_profit_factor;min_total_trades,,low_profit_factor;negative_expectancy;net_cost_gap;thin_sample;wf_min_managed_expectancy_r;wf_min_phase_trades;wf_min_profit_factor;wf_min_total_trades,backtest_results\silver_bullet_costed_2024-11-06_2026-04-20_btc_15m
session_open_htf_aligned_may_oct_2025_btc_silver_15m_fast,silver_bullet,4,4,-0.375,,,,,2.194767,2.0,0.25,0.25,0.25,0.75,,,none:4:-0.375,high_invalidation;missing_profit_factor;negative_expectancy;thin_sample;weak_1r_followthrough,backtest_results\session_open_htf_aligned_may_oct_2025_btc_silver_15m_fast
session_open_htf_aligned_may_oct_2025_btc_silver_15m_relaxed,silver_bullet,4,4,-0.375,,,,,2.194767,2.0,0.25,0.25,0.25,0.75,,,none:4:-0.375,high_invalidation;missing_profit_factor;negative_expectancy;thin_sample;weak_1r_followthrough,backtest_results\session_open_htf_aligned_may_oct_2025_btc_silver_15m_relaxed
session_open_htf_strict_may_oct_2025_btc_silver_15m_fast,silver_bullet,4,4,-0.375,,,,,2.194767,2.0,0.25,0.25,0.25,0.75,,,none:4:-0.375,high_invalidation;missing_profit_factor;negative_expectancy;thin_sample;weak_1r_followthrough,backtest_results\session_open_htf_strict_may_oct_2025_btc_silver_15m_fast
