rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
94,"min_decision_score=50;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",22,97,-0.424187,0.136364,0.181818,0.5,100.0,10.704277,50,0,false,false,"valid,strong","discount,premium",
95,"min_decision_score=70;allowed_displacement_grades=valid,strong",22,97,-0.424187,0.136364,0.181818,0.5,100.0,10.704277,70,0,false,false,"valid,strong",,
96,"min_decision_score=70;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",22,97,-0.424187,0.136364,0.181818,0.5,100.0,10.704277,70,0,false,false,"valid,strong","discount,premium",
97,"min_target_distance_r=3;allowed_displacement_grades=valid,strong",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,0,3,false,false,"valid,strong",,
98,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,0,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
99,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,0,3,false,false,"valid,strong","discount,premium",
100,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,0,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
101,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,50,3,false,false,"valid,strong",,
102,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,50,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
103,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,50,3,false,false,"valid,strong","discount,premium",
104,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,50,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
105,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,70,3,false,false,"valid,strong",,
106,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,70,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
107,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,70,3,false,false,"valid,strong","discount,premium",
108,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",13,106,-1.0,0.0,0.076923,0.461538,100.0,17.027452,70,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
