rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
116,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,70,2,false,false,strong,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
117,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,70,3,false,false,strong,,"equilibrium,poor_pd_location,target_rr_below_2"
118,"min_decision_score=70;min_target_distance_r=3;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",10,888,0.25521,0.1,0.4,0.7,100.0,5.450567,70,3,false,false,strong,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
119,"min_decision_score=70;allowed_htf_locations=discount,premium",616,282,0.244783,0.329545,0.251623,0.569805,83.202922,3.84208,70,0,false,false,,"discount,premium",
120,min_decision_score=70,647,251,0.18615,0.315301,0.24575,0.588872,82.76507,3.95652,70,0,false,false,,,
121,require_session_window=true,15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,0,0,false,true,,,
122,"require_session_window=true;allowed_htf_locations=discount,premium",15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,0,0,false,true,,"discount,premium",
123,min_target_distance_r=2;require_session_window=true,15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,0,2,false,true,,,
124,"min_target_distance_r=2;require_session_window=true;allowed_htf_locations=discount,premium",15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,0,2,false,true,,"discount,premium",
125,min_decision_score=50;require_session_window=true,15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,50,0,false,true,,,
126,"min_decision_score=50;require_session_window=true;allowed_htf_locations=discount,premium",15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,50,0,false,true,,"discount,premium",
127,min_decision_score=50;min_target_distance_r=2;require_session_window=true,15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,50,2,false,true,,,
128,"min_decision_score=50;min_target_distance_r=2;require_session_window=true;allowed_htf_locations=discount,premium",15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,50,2,false,true,,"discount,premium",
129,min_decision_score=70;require_session_window=true,15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,70,0,false,true,,,
130,"min_decision_score=70;require_session_window=true;allowed_htf_locations=discount,premium",15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,70,0,false,true,,"discount,premium",
131,min_decision_score=70;min_target_distance_r=2;require_session_window=true,15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,70,2,false,true,,,
132,"min_decision_score=70;min_target_distance_r=2;require_session_window=true;allowed_htf_locations=discount,premium",15,883,-0.156179,0.133333,0.133333,0.6,88.0,2.0,70,2,false,true,,"discount,premium",
133,"require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,0,0,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
134,"require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,0,0,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
135,"min_target_distance_r=2;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,0,2,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
136,"min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,0,2,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
137,"min_decision_score=50;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,50,0,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
138,"min_decision_score=50;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,50,0,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
139,"min_decision_score=50;min_target_distance_r=2;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,50,2,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
140,"min_decision_score=50;min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,50,2,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
141,"min_decision_score=70;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,70,0,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
142,"min_decision_score=70;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,70,0,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
143,"min_decision_score=70;min_target_distance_r=2;require_smt=true;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,70,2,true,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
144,"min_decision_score=70;min_target_distance_r=2;require_smt=true;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",11,887,-0.302592,0.090909,0.272727,0.727273,100.0,5.066962,70,2,true,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
