rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
67,"min_decision_score=70;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,70,0,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
68,"min_decision_score=70;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,70,0,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
69,min_decision_score=70;min_target_distance_r=2,67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,70,2,false,false,,,
70,"min_decision_score=70;min_target_distance_r=2;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,70,2,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
71,"min_decision_score=70;min_target_distance_r=2;allowed_htf_locations=discount,premium",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,70,2,false,false,,"discount,premium",
72,"min_decision_score=70;min_target_distance_r=2;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",67,50,0.349899,0.313433,0.477612,0.671642,96.492537,8.202551,70,2,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
73,none,117,0,0.309998,0.452991,0.376068,0.521368,91.931624,5.090434,0,0,false,false,,,
74,"allowed_htf_locations=discount,premium",117,0,0.309998,0.452991,0.376068,0.521368,91.931624,5.090434,0,0,false,false,,"discount,premium",
75,min_decision_score=50,117,0,0.309998,0.452991,0.376068,0.521368,91.931624,5.090434,50,0,false,false,,,
76,"min_decision_score=50;allowed_htf_locations=discount,premium",117,0,0.309998,0.452991,0.376068,0.521368,91.931624,5.090434,50,0,false,false,,"discount,premium",
77,min_decision_score=70,117,0,0.309998,0.452991,0.376068,0.521368,91.931624,5.090434,70,0,false,false,,,
78,"min_decision_score=70;allowed_htf_locations=discount,premium",117,0,0.309998,0.452991,0.376068,0.521368,91.931624,5.090434,70,0,false,false,,"discount,premium",
79,min_target_distance_r=3,34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,0,3,false,false,,,
80,"min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,0,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
81,"min_target_distance_r=3;allowed_htf_locations=discount,premium",34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,0,3,false,false,,"discount,premium",
82,"min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,0,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
83,min_decision_score=50;min_target_distance_r=3,34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,50,3,false,false,,,
84,"min_decision_score=50;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,50,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
85,"min_decision_score=50;min_target_distance_r=3;allowed_htf_locations=discount,premium",34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,50,3,false,false,,"discount,premium",
86,"min_decision_score=50;min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,50,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
87,min_decision_score=70;min_target_distance_r=3,34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,70,3,false,false,,,
88,"min_decision_score=70;min_target_distance_r=3;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,70,3,false,false,,,"equilibrium,poor_pd_location,target_rr_below_2"
89,"min_decision_score=70;min_target_distance_r=3;allowed_htf_locations=discount,premium",34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,70,3,false,false,,"discount,premium",
90,"min_decision_score=70;min_target_distance_r=3;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",34,83,0.212251,0.205882,0.470588,0.764706,99.294118,13.844069,70,3,false,false,,"discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
91,"allowed_displacement_grades=valid,strong",21,96,0.065078,0.285714,0.333333,0.666667,98.952381,6.654852,0,0,false,false,"valid,strong",,
92,"allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",21,96,0.065078,0.285714,0.333333,0.666667,98.952381,6.654852,0,0,false,false,"valid,strong","discount,premium",
93,"min_decision_score=50;allowed_displacement_grades=valid,strong",21,96,0.065078,0.285714,0.333333,0.666667,98.952381,6.654852,50,0,false,false,"valid,strong",,
94,"min_decision_score=50;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",21,96,0.065078,0.285714,0.333333,0.666667,98.952381,6.654852,50,0,false,false,"valid,strong","discount,premium",
95,"min_decision_score=70;allowed_displacement_grades=valid,strong",21,96,0.065078,0.285714,0.333333,0.666667,98.952381,6.654852,70,0,false,false,"valid,strong",,
96,"min_decision_score=70;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",21,96,0.065078,0.285714,0.333333,0.666667,98.952381,6.654852,70,0,false,false,"valid,strong","discount,premium",
