time,funding_rate,premium
1775624400056,1.53046e-05,0.0005448736
1775628000065,1.66316e-05,0.000566106
1775631600039,6.25e-06,0.0001550648
1775635200005,6.25e-06,6.0904e-06
1775638800047,6.25e-06,-2.98552e-05
1775642400004,6.25e-06,9.16524e-05
1775646000027,6.25e-06,-5.60752e-05
1775649600000,6.25e-06,-0.0001422312
1775653200019,6.25e-06,-0.0001821575
1775656800064,6.25e-06,-0.0001436882
1775660400025,6.25e-06,-9.08318e-05
1775664000054,6.25e-06,0.0001325597
1775667600009,6.25e-06,-0.0001720151
1775671200046,-1.13922e-05,-0.0004822758
1775674800026,-7.02138e-05,-0.0014234214
1775678400068,-3.514e-05,-0.0008622407
1775682000031,-4.02558e-05,-0.0009440932
1775685600010,-8.947e-07,-0.0003143156
1775689200039,-3.6442e-05,-0.0008830724
1775692800070,-5.24838e-05,-0.001139741
1775696400023,-5.87243e-05,-0.0012395883
1775700000010,-7.00785e-05,-0.0014212561
1775703600053,-6.22481e-05,-0.0012959701
1775707200015,-5.64251e-05,-0.0012028022
1775710800007,-2.48433e-05,-0.0006974923
1775714400021,-4.72867e-05,-0.0010565866
1775718000001,-3.43171e-05,-0.0008490743
1775721600056,-4.51467e-05,-0.0010223468
1775725200008,-3.88909e-05,-0.0009222548
1775728800006,-3.7744e-05,-0.0009039041
1775732400010,-3.36405e-05,-0.0008382476
1775736000054,-2.67313e-05,-0.0007277
1775739600004,-2.27495e-05,-0.0006639925
1775743200056,-1.91209e-05,-0.0006059346
1775746800041,-1.05718e-05,-0.0004691483
1775750400011,-7.576e-06,-0.0004212153
1775754000012,-6.9387e-06,-0.0004110188
1775757600001,-8.9609e-06,-0.0004433737
1775761200031,-1.9629e-05,-0.0006140646
1775764800004,-1.65659e-05,-0.0005650543
1775768400018,-1.46128e-05,-0.000533805
1775772000000,-3.1978e-06,-0.0003511646
1775775600071,-9.4237e-06,-0.0004507789
1775779200062,-1.54568e-05,-0.0005473094
1775782800013,-1.50334e-05,-0.0005405349
1775786400002,-9.6224e-06,-0.0004539581
1775790000040,-1.50507e-05,-0.000540811
1775793600047,-1.16711e-05,-0.0004867376
1775797200031,-7.7168e-06,-0.0004234681
1775800800026,-1.32218e-05,-0.000511548
1775804400016,-1.13645e-05,-0.0004818321
1775808000000,-9.384e-06,-0.0004501446
1775811600015,-4.7913e-06,-0.0003766601
1775815200028,-7.2214e-06,-0.0004155417
1775818800010,-9.1826e-06,-0.0004469218
1775822400057,-3.3693e-06,-0.0003539087
1775826000032,-3.3258e-06,-0.000353212
1775829600008,-3.1675e-06,-0.0003506807
1775833200005,6.25e-06,-0.0001634277
1775836800053,1.6745e-06,-0.0002732078
1775840400022,-1.50917e-05,-0.000541467
1775844000021,-1.02302e-05,-0.0004636826
1775847600046,-4.1258e-06,-0.0003660135
1775851200009,-5.1163e-06,-0.0003818604
1775854800010,-1.36119e-05,-0.0005177902
1775858400079,-2.9432e-05,-0.0007709121
1775862000055,5.4684e-06,-0.000212506
1775865600015,6.25e-06,-1.51655e-05
1775869200006,-7.56449e-05,-0.0015103181
1775872800020,-5.5574e-06,-0.0003889179
1775876400039,6.25e-06,0.0001703761
1775880000013,6.25e-06,1.58468e-05
1775883600005,6.25e-06,9.36285e-05
1775887200024,6.25e-06,-6.75916e-05
1775890800016,6.25e-06,-6.46783e-05
1775894400002,6.25e-06,3.52512e-05
1775898000042,6.25e-06,0.0002488331
1775901600048,6.25e-06,0.0002414608
1775905200040,9.6447e-06,0.0004543144
1775908800055,9.594e-06,0.0004535042
1775912400047,6.25e-06,0.000289724
1775916000001,6.25e-06,-4.28239e-05
1775919600041,6.25e-06,-0.0001829617
1775923200034,-2.9313e-06,-0.0003469008
1775926800008,4.28989e-05,0.0009863825
1775930400033,0.0001341569,0.0024465109
1775934000047,9.28194e-05,0.001785111
1775937600023,1.9398e-05,0.0006103681
1775941200058,6.25e-06,4.22159e-05
1775944800036,6.25e-06,8.3394e-06
1775948400020,6.25e-06,-0.0001254329
1775952000067,6.25e-06,-0.0001490614
1775955600044,-5.9772e-06,-0.0003956356
1775959200031,-0.0001444882,-0.0026118107
1775962800029,-0.0002414818,-0.0041637089
1775966400055,-9.8205e-05,-0.0018712803
1775970000066,-2.36152e-05,-0.0006778439
1775973600047,-2.53943e-05,-0.0007063082
1775977200004,-3.5148e-06,-0.0003562361
1775980800022,-2.91286e-05,-0.0007660574
1775984400049,-8.0385e-06,-0.0004286161
1775988000011,1.103e-07,-0.0002982344
1775991600022,-1.43368e-05,-0.0005293894
1775995200040,-8.4072e-06,-0.0004345156
1775998800028,-1.71219e-05,-0.0005739507
1776002400064,-0.0001425501,-0.0025808014
1776006000065,-8.91596e-05,-0.0017265529
1776009600046,-8.55748e-05,-0.0016691963
1776013200054,-9.74128e-05,-0.0018586043
1776016800035,-3.92181e-05,-0.0009274895
1776020400028,6.25e-06,0.0003726033
1776024000062,-3.07044e-05,-0.0007912712
1776027600049,6.25e-06,-1.69883e-05
1776031200058,-8.62815e-05,-0.0016805045
1776034800048,-4.72598e-05,-0.0010561574
1776038400013,-5.17151e-05,-0.0011274419
1776042000031,-5.87511e-05,-0.0012400179
1776045600001,-5.40256e-05,-0.0011644089
1776049200056,-4.55782e-05,-0.0010292508
1776052800056,-4.15132e-05,-0.0009642113
1776056400032,-3.91121e-05,-0.0009257932
1776060000007,-4.61132e-05,-0.0010378105
1776063600011,-5.18208e-05,-0.0011291328
1776067200015,-4.34005e-05,-0.0009944087
1776070800013,-2.93033e-05,-0.000768853
1776074400032,-1.77924e-05,-0.0005846786
1776078000011,-1.02763e-05,-0.0004644213
1776081600063,-1.28003e-05,-0.0005048045
1776085200036,-1.24586e-05,-0.0004993382
1776088800007,-1.07155e-05,-0.0004714476
1776092400114,-4.0828e-06,-0.0003653242
1776096000016,-1.33912e-05,-0.0005142586
1776099600028,-1.77804e-05,-0.0005844865
1776103200040,-1.8191e-05,-0.0005910561
1776106800055,3.1406e-06,-0.0002497508
1776110400032,6.463e-07,-0.0002896593
